title,abstract,ai_generated,is_ai_generated
Are Advanced Potentials Anomalous?,"  Advanced electromagnetic potentials are indigenous to the classical Maxwell
theory. Generally however they are deemed undesirable and are forcibly
excluded, destroying the theory's inherent time-symmetry. We investigate the
reason for this, pointing out that it is not necessary and in some cases is
counter-productive. We then focus on the direct-action theory in which the
advanced and retarded contributions are present symmetrically, with no
opportunity to supplement the particular integral solution of the wave equation
with an arbitrary complementary function. One then requires a plausible
explanation for the observed broken symmetry that, commonly, is understood
cannot be met by the Wheeler-Feynman mechanism because the necessary boundary
condition cannot be satisfied in acceptable cosmologies. We take this
opportunity to argue that the boundary condition is already met by all
expanding cosmologies simply as a result of cosmological red-shift. A
consequence is that the cosmological and thermodynamic arrows of time can be
equated, the direct action version of EM is preferred, and that advanced
potentials are ubiquitous.
",False,0
Are Advanced Potentials Anomalous?,"This research paper investigates the question of whether advanced potentials are anomalous. Advanced potentials are a type of psychic phenomenon that have been observed and studied for many years. The paper explores the existing literature on advanced potentials and presents new empirical data that has been collected through experiments. The results of the study suggest that advanced potentials are indeed anomalous, as they cannot be explained by conventional scientific theories. The paper concludes that further research is needed to fully understand the nature of advanced potentials and their potential applications in various fields.",True,1
"An efficient centralized binary multicast network coding algorithm for
  any cyclic network","  We give an algorithm for finding network encoding and decoding equations for
error-free multicasting networks with multiple sources and sinks. The algorithm
given is efficient (polynomial complexity) and works on any kind of network
(acyclic, link cyclic, flow cyclic, or even in the presence of knots). The key
idea will be the appropriate use of the delay (both natural and additional)
during the encoding. The resulting code will always work with finite delay with
binary encoding coefficients.
",False,0
"An efficient centralized binary multicast network coding algorithm for
  any cyclic network","The paper presents an efficient centralized binary multicast network coding algorithm for any cyclic network. The proposed algorithm aims to optimize network performance by minimizing the number of transmissions required for multicast messages to reach their intended destinations in a cyclic network. The algorithm employs network coding techniques that combine multiple packets into a single transmission, thereby reducing network congestion and improving bandwidth utilization. The proposed algorithm is designed to operate in a centralized manner, which enables network administrators to efficiently manage network resources. The algorithm is evaluated through simulations, and the results demonstrate its superior performance compared to existing solutions. The paper concludes by highlighting the potential benefits of the proposed algorithm for improving the efficiency and reliability of multicast communications in cyclic networks.",True,1
Percolation transition in networks with degree-degree correlation,"  We introduce an exponential random graph model for networks with a fixed
degree distribution and with a tunable degree-degree correlation. We then
investigate the nature of a percolation transition in the correlated network
with the Poisson degree distribution. It is found that negative correlation is
irrelevant in that the percolation transition in the disassortative network
belongs to the same universality class of the uncorrelated network. Positive
correlation turns out to be relevant. The percolation transition in the
assortative network is characterized by the non-diverging mean size of finite
clusters and power-law scalings of the density of the largest cluster and the
cluster size distribution in the non-percolating phase as well as at the
critical point. Our results suggest that the unusual type percolation
transition in the growing network models reported recently may be inherited
from the assortative degree-degree correlation.
",False,0
Percolation transition in networks with degree-degree correlation,"This research paper investigates the percolation transition in networks with degree-degree correlation, which refers to the relationship between the degrees of the nodes in a network. The authors use numerical simulations to study the behavior of percolation on networks with varying degrees of correlation. The results show that degree-degree correlation can significantly affect the percolation transition, and that networks with positive correlation tend to have a higher percolation threshold than those with negative correlation. The research has important implications for understanding the resilience of real-world networks, such as social networks and transportation networks, to failures and attacks.",True,1
"Link concordance, homology cobordism, and Hirzebruch-type defects from
  iterated p-covers","  We obtain new invariants of topological link concordance and homology
cobordism of 3-manifolds from Hirzebruch-type intersection form defects of
towers of iterated p-covers. Our invariants can extract geometric information
from an arbitrary depth of the derived series of the fundamental group, and can
detect torsion which is invisible via signature invariants. Applications
illustrating these features include the following: (1) There are infinitely
many homology equivalent rational 3-spheres which are indistinguishable via
multisignatures, eta-invariants, and L2-signatures but have distinct homology
cobordism types. (2) There is an infinite family of 2-torsion (amphichiral)
knots, including the figure eight knot, with non-slice iterated Bing doubles;
as a special case, we give the first proof of the conjecture that the Bing
double of the figure eight knot is not slice. (3) There exist infinitely many
torsion elements at any depth of the Cochran-Orr-Teichner filtration of link
concordance.
",False,0
"Link concordance, homology cobordism, and Hirzebruch-type defects from
  iterated p-covers","This research paper delves into the area of algebraic topology, where we investigate the relationship between link concordance, homology cobordism, and Hirzebruch-type defects. We explore this relationship through the study of iterated p-covers and their associated groups. Our findings reveal a connection between these structures, with significant implications for our understanding of knot theory and the classification of 4-manifolds. Specifically, we show that the existence of Hirzebruch-type defects in iterated p-covers implies the non-triviality of link concordance classes, and we establish a new criterion for homology cobordism. Our research provides new insights into the interplay between topological invariants, paving the way for further exploration in this area.",True,1
Bounding network spectra for network design,"  The identification of the limiting factors in the dynamical behavior of
complex systems is an important interdisciplinary problem which often can be
traced to the spectral properties of an underlying network. By deriving a
general relation between the eigenvalues of weighted and unweighted networks,
here I show that for a wide class of networks the dynamical behavior is tightly
bounded by few network parameters. This result provides rigorous conditions for
the design of networks with predefined dynamical properties and for the
structural control of physical processes in complex systems. The results are
illustrated using synchronization phenomena as a model process.
",False,0
Bounding network spectra for network design,"This research paper investigates the potential use of bounding network spectra as a basis for network design. The paper explores the concept of network spectra and their importance in network design, as well as the various methods for bounding these spectra. Through a review of current literature and case studies, the paper highlights the benefits and limitations of using bounded network spectra in network design and proposes future research directions. The findings suggest that bounding network spectra can be a useful tool in network design, providing insights into network properties and aiding in the optimization of network performance. However, more research is needed to fully understand the impact of bounded network spectra on network design and to develop more efficient and accurate methods for bounding these spectra.",True,1
